ts,event,actor_id,target,details,ip
2026-08-11T12:13:03.583782Z,server_created,1,1,"{""name"": ""Test Server""}",127.0.0.1
2026-08-11T12:13:29.617308Z,channel_created,1,1,"{""channel"": ""general""}",127.0.0.1
2026-08-11T14:46:10.992125Z,server_created,1,3,"{""name"": ""welcome""}",127.0.0.1
2026-08-11T14:46:36.391810Z,channel_created,1,3,"{""channel"": ""welcome""}",127.0.0.1
2026-08-11T15:46:12.110365Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-11T15:46:12.190170Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-11T15:46:59.637228Z,channel_created,1,2,"{""channel"": ""test-ch""}",127.0.0.1
2026-08-11T15:46:59.720395Z,channel_deleted,1,2,"{""channel"": ""test-ch""}",127.0.0.1
2026-08-11T15:46:59.796280Z,message_reported,1,2,"{""message_id"": 7, ""reason"": ""test report""}",127.0.0.1
2026-08-11T15:46:59.859828Z,member_muted,1,3,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""test""}",127.0.0.1
2026-08-11T15:47:13.905930Z,message_deleted,1,2,"{""message_id"": 8}",127.0.0.1
2026-08-11T15:51:49.807572Z,server_settings,1,2,"{""changes"": {""description"": ""updated desc""}}",127.0.0.1
2026-08-11T15:51:49.865728Z,role_created,1,2,"{""role"": ""Moderator"", ""permissions"": [""moderate"", ""kick"", ""mute"", ""manage_messages""]}",127.0.0.1
2026-08-11T15:51:49.998523Z,report_resolved,1,,"{""report_id"": 1, ""server"": 2}",127.0.0.1
2026-08-11T16:37:36.854243Z,server_created,6,4,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-11T16:37:37.470011Z,message_reported,6,2,"{""message_id"": 9, ""reason"": ""smoke report""}",127.0.0.1
2026-08-11T16:37:37.575645Z,message_deleted,6,2,"{""message_id"": 9}",127.0.0.1
2026-08-11T16:37:37.654903Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-11T16:37:37.958626Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-11T16:37:38.056621Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-11T16:37:38.121891Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-11T16:37:38.170180Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-11T16:37:38.251359Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-11T16:37:38.402250Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-11T16:37:38.517735Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
2026-08-11T16:37:38.656849Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-11T16:37:38.782558Z,report_resolved,1,,"{""report_id"": 2, ""server"": 2}",127.0.0.1
2026-08-11T16:37:39.451150Z,server_verified,1,2,"{""name"": ""Insyrium Community"", ""verified"": true}",127.0.0.1
2026-08-11T16:38:47.188431Z,server_created,6,5,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-11T16:38:47.627338Z,message_reported,6,2,"{""message_id"": 11, ""reason"": ""smoke report""}",127.0.0.1
2026-08-11T16:38:47.680468Z,message_deleted,6,2,"{""message_id"": 11}",127.0.0.1
2026-08-11T16:38:47.937522Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-11T16:38:48.056453Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-11T16:38:48.105802Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-11T16:38:48.144809Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-11T16:38:48.216274Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-11T16:38:48.286076Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-11T16:38:48.365437Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
2026-08-11T16:38:48.440322Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-11T16:38:48.567707Z,member_kicked,1,6,"{""server"": 2}",127.0.0.1
2026-08-11T16:38:48.650340Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-11T16:38:48.766941Z,report_resolved,1,,"{""report_id"": 3, ""server"": 2}",127.0.0.1
